Date,Month,Month Name,Day,Weekday
1/1/2023,1,Jan,7,Sunday
1/2/2023,1,Jan,1,Monday
1/3/2023,1,Jan,2,Tuesday
1/4/2023,1,Jan,3,Wednesday
1/5/2023,1,Jan,4,Thursday
1/6/2023,1,Jan,5,Friday
1/7/2023,1,Jan,6,Saturday
1/8/2023,1,Jan,7,Sunday
1/9/2023,1,Jan,1,Monday
1/10/2023,1,Jan,2,Tuesday
1/11/2023,1,Jan,3,Wednesday
1/12/2023,1,Jan,4,Thursday
1/13/2023,1,Jan,5,Friday
1/14/2023,1,Jan,6,Saturday
1/15/2023,1,Jan,7,Sunday
1/16/2023,1,Jan,1,Monday
1/17/2023,1,Jan,2,Tuesday
1/18/2023,1,Jan,3,Wednesday
1/19/2023,1,Jan,4,Thursday
1/20/2023,1,Jan,5,Friday
1/21/2023,1,Jan,6,Saturday
1/22/2023,1,Jan,7,Sunday
1/23/2023,1,Jan,1,Monday
1/24/2023,1,Jan,2,Tuesday
1/25/2023,1,Jan,3,Wednesday
1/26/2023,1,Jan,4,Thursday
1/27/2023,1,Jan,5,Friday
1/28/2023,1,Jan,6,Saturday
1/29/2023,1,Jan,7,Sunday
1/30/2023,1,Jan,1,Monday
1/31/2023,1,Jan,2,Tuesday
2/1/2023,2,Feb,3,Wednesday
2/2/2023,2,Feb,4,Thursday
2/3/2023,2,Feb,5,Friday
2/4/2023,2,Feb,6,Saturday
2/5/2023,2,Feb,7,Sunday
2/6/2023,2,Feb,1,Monday
2/7/2023,2,Feb,2,Tuesday
2/8/2023,2,Feb,3,Wednesday
2/9/2023,2,Feb,4,Thursday
2/10/2023,2,Feb,5,Friday
2/11/2023,2,Feb,6,Saturday
2/12/2023,2,Feb,7,Sunday
2/13/2023,2,Feb,1,Monday
2/14/2023,2,Feb,2,Tuesday
2/15/2023,2,Feb,3,Wednesday
2/16/2023,2,Feb,4,Thursday
2/17/2023,2,Feb,5,Friday
2/18/2023,2,Feb,6,Saturday
2/19/2023,2,Feb,7,Sunday
2/20/2023,2,Feb,1,Monday
2/21/2023,2,Feb,2,Tuesday
2/22/2023,2,Feb,3,Wednesday
2/23/2023,2,Feb,4,Thursday
2/24/2023,2,Feb,5,Friday
2/25/2023,2,Feb,6,Saturday
2/26/2023,2,Feb,7,Sunday
2/27/2023,2,Feb,1,Monday
2/28/2023,2,Feb,2,Tuesday
3/1/2023,3,Mar,3,Wednesday
3/2/2023,3,Mar,4,Thursday
3/3/2023,3,Mar,5,Friday
3/4/2023,3,Mar,6,Saturday
3/5/2023,3,Mar,7,Sunday
3/6/2023,3,Mar,1,Monday
3/7/2023,3,Mar,2,Tuesday
3/8/2023,3,Mar,3,Wednesday
3/9/2023,3,Mar,4,Thursday
3/10/2023,3,Mar,5,Friday
3/11/2023,3,Mar,6,Saturday
3/12/2023,3,Mar,7,Sunday
3/13/2023,3,Mar,1,Monday
3/14/2023,3,Mar,2,Tuesday
3/15/2023,3,Mar,3,Wednesday
3/16/2023,3,Mar,4,Thursday
3/17/2023,3,Mar,5,Friday
3/18/2023,3,Mar,6,Saturday
3/19/2023,3,Mar,7,Sunday
3/20/2023,3,Mar,1,Monday
3/21/2023,3,Mar,2,Tuesday
3/22/2023,3,Mar,3,Wednesday
3/23/2023,3,Mar,4,Thursday
3/24/2023,3,Mar,5,Friday
3/25/2023,3,Mar,6,Saturday
3/26/2023,3,Mar,7,Sunday
3/27/2023,3,Mar,1,Monday
3/28/2023,3,Mar,2,Tuesday
3/29/2023,3,Mar,3,Wednesday
3/30/2023,3,Mar,4,Thursday
3/31/2023,3,Mar,5,Friday
4/1/2023,4,Apr,6,Saturday
4/2/2023,4,Apr,7,Sunday
4/3/2023,4,Apr,1,Monday
4/4/2023,4,Apr,2,Tuesday
4/5/2023,4,Apr,3,Wednesday
4/6/2023,4,Apr,4,Thursday
4/7/2023,4,Apr,5,Friday
4/8/2023,4,Apr,6,Saturday
4/9/2023,4,Apr,7,Sunday
4/10/2023,4,Apr,1,Monday
4/11/2023,4,Apr,2,Tuesday
4/12/2023,4,Apr,3,Wednesday
4/13/2023,4,Apr,4,Thursday
4/14/2023,4,Apr,5,Friday
4/15/2023,4,Apr,6,Saturday
4/16/2023,4,Apr,7,Sunday
4/17/2023,4,Apr,1,Monday
4/18/2023,4,Apr,2,Tuesday
4/19/2023,4,Apr,3,Wednesday
4/20/2023,4,Apr,4,Thursday
4/21/2023,4,Apr,5,Friday
4/22/2023,4,Apr,6,Saturday
4/23/2023,4,Apr,7,Sunday
4/24/2023,4,Apr,1,Monday
4/25/2023,4,Apr,2,Tuesday
4/26/2023,4,Apr,3,Wednesday
4/27/2023,4,Apr,4,Thursday
4/28/2023,4,Apr,5,Friday
4/29/2023,4,Apr,6,Saturday
4/30/2023,4,Apr,7,Sunday
5/1/2023,5,May,1,Monday
5/2/2023,5,May,2,Tuesday
5/3/2023,5,May,3,Wednesday
5/4/2023,5,May,4,Thursday
5/5/2023,5,May,5,Friday
5/6/2023,5,May,6,Saturday
5/7/2023,5,May,7,Sunday
5/8/2023,5,May,1,Monday
5/9/2023,5,May,2,Tuesday
5/10/2023,5,May,3,Wednesday
5/11/2023,5,May,4,Thursday
5/12/2023,5,May,5,Friday
5/13/2023,5,May,6,Saturday
