store_id,store_location
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
8,Hell's Kitchen
5,Lower Manhattan
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
8,Hell's Kitchen
5,Lower Manhattan
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
5,Lower Manhattan
5,Lower Manhattan
5,Lower Manhattan
5,Lower Manhattan
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
5,Lower Manhattan
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
8,Hell's Kitchen
5,Lower Manhattan
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
8,Hell's Kitchen
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
5,Lower Manhattan
8,Hell's Kitchen
5,Lower Manhattan
8,Hell's Kitchen
5,Lower Manhattan
3,Astoria
8,Hell's Kitchen
5,Lower Manhattan
5,Lower Manhattan
5,Lower Manhattan
3,Astoria
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
3,Astoria
3,Astoria
3,Astoria
5,Lower Manhattan
3,Astoria
3,Astoria
3,Astoria
3,Astoria
5,Lower Manhattan
3,Astoria
5,Lower Manhattan
3,Astoria
5,Lower Manhattan
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
3,Astoria
5,Lower Manhattan
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
5,Lower Manhattan
3,Astoria
3,Astoria
8,Hell's Kitchen
8,Hell's Kitchen
5,Lower Manhattan
3,Astoria
5,Lower Manhattan
3,Astoria
8,Hell's Kitchen
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
5,Lower Manhattan
8,Hell's Kitchen
5,Lower Manhattan
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
8,Hell's Kitchen
3,Astoria
5,Lower Manhattan
8,Hell's Kitchen
3,Astoria
3,Astoria
8,Hell's Kitchen
3,Astoria
3,Astoria
5,Lower Manhattan
8,Hell's Kitchen
5,Lower Manhattan
3,Astoria
8,Hell's Kitchen
5,Lower Manhattan
8,Hell's Kitchen
5,Lower Manhattan
3,Astoria
8,Hell's Kitchen
5,Lower Manhattan
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
3,Astoria
3,Astoria
3,Astoria
5,Lower Manhattan
5,Lower Manhattan
3,Astoria
8,Hell's Kitchen
5,Lower Manhattan
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
5,Lower Manhattan
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
3,Astoria
3,Astoria
5,Lower Manhattan
5,Lower Manhattan
5,Lower Manhattan
8,Hell's Kitchen
3,Astoria
5,Lower Manhattan
8,Hell's Kitchen
8,Hell's Kitchen
3,Astoria
5,Lower Manhattan
8,Hell's Kitchen
8,Hell's Kitchen
8,Hell's Kitchen
5,Lower Manhattan
8,Hell's Kitchen
5,Lower Manhattan
8,Hell's Kitchen
3,Astoria
5,Lower Manhattan
5,Lower Manhattan
3,Astoria
5,Lower Manhattan
8,Hell's Kitchen
